study,participant_id,generator,rate,trial,sequence,type,terminal_streak_length,prediction_raw,prediction_recode
2A,61,stock,50,13,01000101,filler,1,6,6
2A,61,stock,50,14,10000001,filler,1,13,13
2A,61,stock,50,15,01010111,target,3,93,93
2A,61,stock,50,16,10100110,filler,1,52,48
2A,61,stock,50,17,01011110,filler,1,74,26
2A,61,stock,50,18,01011111,target,5,96,96
2A,62,stock,50,1,11111101,filler,1,54,54
2A,62,stock,50,2,11010000,target,4,31,69
2A,62,stock,50,3,10100000,target,5,15,85
2A,62,stock,50,4,01011110,filler,1,52,48
2A,62,stock,50,5,01110010,filler,1,53,47
2A,62,stock,50,6,11011001,filler,1,52,52
2A,62,stock,50,7,11101010,filler,1,49,51
2A,62,stock,50,8,11000000,target,6,10,90
2A,62,stock,50,9,01001011,target,2,49,49
2A,62,stock,50,10,01111111,target,7,63,63
2A,62,stock,50,11,10101000,target,3,31,69
2A,62,stock,50,12,00110110,filler,1,47,53
2A,62,stock,50,13,10001010,filler,1,45,55
2A,62,stock,50,14,00001101,filler,1,13,13
2A,62,stock,50,15,01010101,filler,1,50,50
2A,62,stock,50,16,10000001,filler,1,25,25
2A,62,stock,50,17,11010010,filler,1,35,65
2A,62,stock,50,18,01011101,filler,1,49,49
2A,63,stock,50,1,01011101,filler,1,79,79
2A,63,stock,50,2,01010100,target,2,35,65
2A,63,stock,50,3,10000001,filler,1,78,78
2A,63,stock,50,4,01111111,target,7,69,69
2A,63,stock,50,5,11111101,filler,1,62,62
2A,63,stock,50,6,11101010,filler,1,77,23
2A,63,stock,50,7,10101000,target,3,67,33
2A,63,stock,50,8,01000101,filler,1,27,27
2A,63,stock,50,9,11011111,target,5,70,70
2A,63,stock,50,10,01011110,filler,1,65,35
2A,63,stock,50,11,00110110,filler,1,36,64
2A,63,stock,50,12,01010101,filler,1,22,22
2A,63,stock,50,13,10101010,filler,1,82,18
2A,63,stock,50,14,00001101,filler,1,67,67
2A,63,stock,50,15,10001010,filler,1,79,21
2A,63,stock,50,16,10000101,filler,1,23,23
2A,63,stock,50,17,11010000,target,4,28,72
2A,63,stock,50,18,11000000,target,6,14,86
2A,64,stock,50,1,10000001,filler,1,88,88
2A,64,stock,50,2,01010010,filler,1,59,41
2A,64,stock,50,3,01011110,filler,1,23,77
2A,64,stock,50,4,11110010,filler,1,32,68
2A,64,stock,50,5,10101011,target,2,45,45
2A,64,stock,50,6,10000101,filler,1,80,80
2A,64,stock,50,7,11011001,filler,1,36,36
2A,64,stock,50,8,10101111,target,4,18,18
2A,64,stock,50,9,01000001,filler,1,84,84
2A,64,stock,50,10,10101000,target,3,76,24
2A,64,stock,50,11,01111111,target,7,10,10
2A,64,stock,50,12,01000000,target,6,92,8
2A,64,stock,50,13,11000110,filler,1,53,47
2A,64,stock,50,14,01011111,target,5,27,27
2A,64,stock,50,15,01000101,filler,1,64,64
2A,64,stock,50,16,01101010,filler,1,52,48
2A,64,stock,50,17,11111101,filler,1,5,5
2A,64,stock,50,18,00001101,filler,1,61,61
2A,65,stock,50,1,01011101,filler,1,48,48
2A,65,stock,50,2,11001101,filler,1,29,29
2A,65,stock,50,3,01111111,target,7,81,81
2A,65,stock,50,4,01010100,target,2,65,35
2A,65,stock,50,5,11000000,target,6,65,35
2A,65,stock,50,6,10100110,filler,1,39,61
2A,65,stock,50,7,11111101,filler,1,32,32
2A,65,stock,50,8,01010101,filler,1,21,21
2A,65,stock,50,9,10000101,filler,1,22,22
2A,65,stock,50,10,00100000,target,5,59,41
2A,65,stock,50,11,01101010,filler,1,71,29
2A,65,stock,50,12,01011000,target,3,71,29
2A,65,stock,50,13,10000001,filler,1,77,77
2A,65,stock,50,14,11010000,target,4,47,53
2A,65,stock,50,15,00110101,filler,1,28,28
2A,65,stock,50,16,11000110,filler,1,28,72
2A,65,stock,50,17,00110110,filler,1,68,32
2A,65,stock,50,18,01011110,filler,1,38,62
2A,66,stock,50,1,01011110,filler,1,26,74
2A,66,stock,50,2,10100110,filler,1,46,54
2A,66,stock,50,3,00110110,filler,1,16,84
2A,66,stock,50,4,10000001,filler,1,10,10
2A,66,stock,50,5,10110100,target,2,21,79
2A,66,stock,50,6,11101010,filler,1,47,53
2A,66,stock,50,7,01111111,target,7,98,98
2A,66,stock,50,8,10101010,filler,1,29,71
2A,66,stock,50,9,01000001,filler,1,9,9
2A,66,stock,50,10,10100111,target,3,29,29
2A,66,stock,50,11,11010010,filler,1,10,90
2A,66,stock,50,12,00101111,target,4,63,63
2A,66,stock,50,13,00111111,target,6,77,77
2A,66,stock,50,14,11111010,filler,1,46,54
2A,66,stock,50,15,00100000,target,5,4,96
2A,66,stock,50,16,01110010,filler,1,47,53
2A,66,stock,50,17,01011101,filler,1,51,51
2A,66,stock,50,18,11110010,filler,1,12,88
2A,67,stock,50,1,01110010,filler,1,51,49
2A,67,stock,50,2,01011000,target,3,23,77
2A,67,stock,50,3,01111111,target,7,87,87
2A,67,stock,50,4,11000000,target,6,15,85
2A,67,stock,50,5,01000101,filler,1,25,25
2A,67,stock,50,6,10101010,filler,1,91,9
2A,67,stock,50,7,10101011,target,2,54,54
2A,67,stock,50,8,11011001,filler,1,81,81
2A,67,stock,50,9,01101010,filler,1,73,27
2A,67,stock,50,10,01010010,filler,1,30,70
2A,67,stock,50,11,11111010,filler,1,65,35
2A,67,stock,50,12,01011110,filler,1,57,43
2A,67,stock,50,13,10000101,filler,1,28,28
2A,67,stock,50,14,11101010,filler,1,65,35
2A,67,stock,50,15,01011111,target,5,52,52
2A,67,stock,50,16,01000001,filler,1,9,9
2A,67,stock,50,17,11001101,filler,1,57,57
2A,67,stock,50,18,10101111,target,4,72,72
2A,68,stock,50,1,10001010,filler,1,100,0
2A,68,stock,50,2,10000101,filler,1,54,54
2A,68,stock,50,3,11000110,filler,1,43,57
2A,68,stock,50,4,11010000,target,4,73,27
2A,68,stock,50,5,01010010,filler,1,17,83
2A,68,stock,50,6,00110101,filler,1,50,50
2A,68,stock,50,7,01011111,target,5,57,57
2A,68,stock,50,8,01111111,target,7,100,100
2A,68,stock,50,9,01010100,target,2,72,28
2A,68,stock,50,10,10100110,filler,1,59,41
2A,68,stock,50,11,01101010,filler,1,72,28
2A,68,stock,50,12,10101000,target,3,68,32
2A,68,stock,50,13,11111010,filler,1,41,59
2A,68,stock,50,14,11001101,filler,1,75,75
2A,68,stock,50,15,00001101,filler,1,80,80
2A,68,stock,50,16,11110010,filler,1,71,29
2A,68,stock,50,17,01000001,filler,1,75,75
2A,68,stock,50,18,01000000,target,6,89,11
2A,69,stock,50,1,10000101,filler,1,51,51
2A,69,stock,50,2,10101010,filler,1,51,49
2A,69,stock,50,3,01011101,filler,1,51,51
2A,69,stock,50,4,01011110,filler,1,51,49
2A,69,stock,50,5,11010000,target,4,50,50
2A,69,stock,50,6,00100000,target,5,51,49
2A,69,stock,50,7,11011001,filler,1,51,51
2A,69,stock,50,8,11001101,filler,1,51,51
2A,69,stock,50,9,01000000,target,6,51,49
2A,69,stock,50,10,10100110,filler,1,51,49
2A,69,stock,50,11,01010100,target,2,51,49
2A,69,stock,50,12,00001101,filler,1,51,51
2A,69,stock,50,13,01010111,target,3,51,51
2A,69,stock,50,14,01010101,filler,1,51,51
2A,69,stock,50,15,01000001,filler,1,51,51
2A,69,stock,50,16,10000000,target,7,51,49
2A,69,stock,50,17,11110010,filler,1,51,49
2A,69,stock,50,18,11101010,filler,1,51,49
2A,70,stock,50,1,01110010,filler,1,27,73
2A,70,stock,50,2,10100000,target,5,14,86
2A,70,stock,50,3,00110101,filler,1,49,49
2A,70,stock,50,4,00101111,target,4,74,74
2A,70,stock,50,5,11000000,target,6,23,77
2A,70,stock,50,6,01011000,target,3,32,68
2A,70,stock,50,7,00110110,filler,1,49,51
2A,70,stock,50,8,10000000,target,7,15,85
2A,70,stock,50,9,10110100,target,2,39,61
2A,70,stock,50,10,01000101,filler,1,48,48
2A,70,stock,50,11,11011001,filler,1,49,49
2A,70,stock,50,12,01011101,filler,1,47,47
2A,70,stock,50,13,11001101,filler,1,51,51
2A,70,stock,50,14,10101010,filler,1,49,51
2A,70,stock,50,15,01101010,filler,1,49,51
2A,70,stock,50,16,11000110,filler,1,40,60
2A,70,stock,50,17,10000001,filler,1,42,42
2A,70,stock,50,18,10100110,filler,1,49,51
2A,71,stock,50,1,11010010,filler,1,50,50
2A,71,stock,50,2,10101011,target,2,79,79
2A,71,stock,50,3,10100000,target,5,61,39
2A,71,stock,50,4,11011001,filler,1,34,34
2A,71,stock,50,5,01011110,filler,1,36,64
2A,71,stock,50,6,10100111,target,3,32,32
2A,71,stock,50,7,11111010,filler,1,49,51
2A,71,stock,50,8,10000000,target,7,47,53
2A,71,stock,50,9,11000000,target,6,17,83
2A,71,stock,50,10,01010010,filler,1,46,54
2A,71,stock,50,11,01011101,filler,1,53,53
2A,71,stock,50,12,10100110,filler,1,49,51
2A,71,stock,50,13,10101111,target,4,48,48
2A,71,stock,50,14,11110010,filler,1,55,45
2A,71,stock,50,15,10001010,filler,1,49,51
2A,71,stock,50,16,10101010,filler,1,62,38
2A,71,stock,50,17,10000001,filler,1,17,17
2A,71,stock,50,18,01000001,filler,1,34,34
2A,72,stock,50,1,00110110,filler,1,41,59
2A,72,stock,50,2,01011110,filler,1,76,24
2A,72,stock,50,3,01111111,target,7,39,39
2A,72,stock,50,4,10111111,target,6,77,77
2A,72,stock,50,5,00100000,target,5,17,83
2A,72,stock,50,6,11111010,filler,1,78,22
2A,72,stock,50,7,01101010,filler,1,66,34
2A,72,stock,50,8,11111101,filler,1,77,77
2A,72,stock,50,9,00110101,filler,1,62,62
2A,72,stock,50,10,11110010,filler,1,22,78
2A,72,stock,50,11,01010100,target,2,56,44
2A,72,stock,50,12,10000001,filler,1,60,60
2A,72,stock,50,13,01011101,filler,1,80,80
2A,72,stock,50,14,10101000,target,3,31,69
2A,72,stock,50,15,01010000,target,4,30,70
2A,72,stock,50,16,01000101,filler,1,32,32
2A,72,stock,50,17,11000110,filler,1,64,36
2A,72,stock,50,18,11001101,filler,1,84,84
2A,73,stock,50,1,01000101,filler,1,16,16
2A,73,stock,50,2,11101010,filler,1,60,40
2A,73,stock,50,3,10101000,target,3,68,32
2A,73,stock,50,4,01010010,filler,1,84,16
2A,73,stock,50,5,00110101,filler,1,22,22
2A,73,stock,50,6,11000110,filler,1,12,88
2A,73,stock,50,7,10100110,filler,1,19,81
2A,73,stock,50,8,11010000,target,4,5,95
2A,73,stock,50,9,01111111,target,7,99,99
2A,73,stock,50,10,01001011,target,2,90,90
2A,73,stock,50,11,01011111,target,5,90,90
2A,73,stock,50,12,01110010,filler,1,51,49
2A,73,stock,50,13,00111111,target,6,96,96
2A,73,stock,50,14,01101010,filler,1,39,61
2A,73,stock,50,15,10000101,filler,1,45,45
2A,73,stock,50,16,11011001,filler,1,55,55
2A,73,stock,50,17,01011110,filler,1,68,32
2A,73,stock,50,18,11111010,filler,1,64,36
2A,74,stock,50,1,01010010,filler,1,83,17
2A,74,stock,50,2,11001101,filler,1,83,83
2A,74,stock,50,3,01010111,target,3,30,30
2A,74,stock,50,4,01000101,filler,1,17,17
2A,74,stock,50,5,11101010,filler,1,93,7
2A,74,stock,50,6,00101111,target,4,80,80
2A,74,stock,50,7,01110010,filler,1,20,80
2A,74,stock,50,8,00110101,filler,1,25,25
2A,74,stock,50,9,10100110,filler,1,85,15
2A,74,stock,50,10,10101010,filler,1,95,5
2A,74,stock,50,11,01000001,filler,1,12,12
2A,74,stock,50,12,01001011,target,2,16,16
2A,74,stock,50,13,11000000,target,6,7,93
2A,74,stock,50,14,11010010,filler,1,76,24
2A,74,stock,50,15,00100000,target,5,21,79
2A,74,stock,50,16,10000000,target,7,6,94
2A,74,stock,50,17,01101010,filler,1,90,10
2A,74,stock,50,18,11011001,filler,1,99,99
2A,75,stock,50,1,01011110,filler,1,64,36
2A,75,stock,50,2,00110101,filler,1,73,73
2A,75,stock,50,3,00110110,filler,1,54,46
2A,75,stock,50,4,11111010,filler,1,27,73
2A,75,stock,50,5,01001011,target,2,29,29
2A,75,stock,50,6,00001101,filler,1,48,48
2A,75,stock,50,7,01010010,filler,1,8,92
2A,75,stock,50,8,10111111,target,6,0,0
2A,75,stock,50,9,00100000,target,5,100,0
2A,75,stock,50,10,10101000,target,3,63,37
2A,75,stock,50,11,10101111,target,4,0,0
2A,75,stock,50,12,10000101,filler,1,60,60
2A,75,stock,50,13,01111111,target,7,0,0
2A,75,stock,50,14,11011001,filler,1,37,37
2A,75,stock,50,15,10101010,filler,1,51,49
2A,75,stock,50,16,01000101,filler,1,63,63
2A,75,stock,50,17,01010101,filler,1,40,40
2A,75,stock,50,18,10000001,filler,1,75,75
2A,76,stock,50,1,01010101,filler,1,59,59
2A,76,stock,50,2,11010010,filler,1,87,13
2A,76,stock,50,3,01011110,filler,1,90,10
2A,76,stock,50,4,10101010,filler,1,76,24
2A,76,stock,50,5,01010111,target,3,22,22
2A,76,stock,50,6,10100000,target,5,95,5
2A,76,stock,50,7,10100110,filler,1,83,17
2A,76,stock,50,8,11011001,filler,1,38,38
2A,76,stock,50,9,00001101,filler,1,77,77
2A,76,stock,50,10,10101011,target,2,34,34
2A,76,stock,50,11,11111010,filler,1,48,52
2A,76,stock,50,12,00101111,target,4,31,31
2A,76,stock,50,13,11111101,filler,1,27,27
2A,76,stock,50,14,01011101,filler,1,33,33
2A,76,stock,50,15,01111111,target,7,20,20
2A,76,stock,50,16,00110101,filler,1,22,22
2A,76,stock,50,17,00111111,target,6,23,23
2A,76,stock,50,18,00110110,filler,1,67,33
2A,77,stock,50,1,00110110,filler,1,50,50
2A,77,stock,50,2,10100110,filler,1,49,51
2A,77,stock,50,3,01011000,target,3,78,22
2A,77,stock,50,4,00111111,target,6,82,82
2A,77,stock,50,5,01000001,filler,1,20,20
2A,77,stock,50,6,11111101,filler,1,88,88
2A,77,stock,50,7,11010010,filler,1,92,8
2A,77,stock,50,8,01010000,target,4,91,9
2A,77,stock,50,9,01011101,filler,1,50,50
2A,77,stock,50,10,01000101,filler,1,48,48
2A,77,stock,50,11,10000001,filler,1,14,14
2A,77,stock,50,12,01010100,target,2,86,14
2A,77,stock,50,13,01011110,filler,1,35,65
2A,77,stock,50,14,00110101,filler,1,19,19
2A,77,stock,50,15,00001101,filler,1,49,49
2A,77,stock,50,16,01111111,target,7,72,72
2A,77,stock,50,17,11111010,filler,1,58,42
2A,77,stock,50,18,10100000,target,5,33,67
2A,78,stock,50,1,01010010,filler,1,73,27
2A,78,stock,50,2,01011111,target,5,70,70
2A,78,stock,50,3,00001101,filler,1,44,44
2A,78,stock,50,4,10110100,target,2,67,33
2A,78,stock,50,5,01011000,target,3,64,36
2A,78,stock,50,6,01111111,target,7,91,91
2A,78,stock,50,7,00110101,filler,1,83,83
2A,78,stock,50,8,11101010,filler,1,70,30
2A,78,stock,50,9,11110010,filler,1,86,14
2A,78,stock,50,10,01110010,filler,1,76,24
2A,78,stock,50,11,10101111,target,4,94,94
2A,78,stock,50,12,10111111,target,6,80,80
2A,78,stock,50,13,10001010,filler,1,69,31
2A,78,stock,50,14,10101010,filler,1,54,46
2A,78,stock,50,15,10100110,filler,1,58,42
2A,78,stock,50,16,11111010,filler,1,74,26
2A,78,stock,50,17,00110110,filler,1,80,20
2A,78,stock,50,18,11011001,filler,1,68,68
2A,79,stock,50,1,11111010,filler,1,24,76
2A,79,stock,50,2,10111111,target,6,61,61
2A,79,stock,50,3,01101010,filler,1,68,32
2A,79,stock,50,4,01011111,target,5,63,63
2A,79,stock,50,5,10000101,filler,1,65,65
2A,79,stock,50,6,01010010,filler,1,60,40
2A,79,stock,50,7,11011001,filler,1,38,38
2A,79,stock,50,8,01111111,target,7,66,66
2A,79,stock,50,9,11111101,filler,1,61,61
2A,79,stock,50,10,11001101,filler,1,51,51
2A,79,stock,50,11,01011101,filler,1,51,51
2A,79,stock,50,12,01000001,filler,1,37,37
2A,79,stock,50,13,01001011,target,2,52,52
2A,79,stock,50,14,10000001,filler,1,34,34
2A,79,stock,50,15,01010101,filler,1,36,36
2A,79,stock,50,16,01000101,filler,1,56,56
2A,79,stock,50,17,01011000,target,3,56,44
2A,79,stock,50,18,11010000,target,4,44,56
2A,80,stock,50,1,00110110,filler,1,88,12
2A,80,stock,50,2,01101010,filler,1,96,4
2A,80,stock,50,3,11110010,filler,1,96,4
2A,80,stock,50,4,10100111,target,3,2,2
2A,80,stock,50,5,01011111,target,5,49,49
2A,80,stock,50,6,01111111,target,7,50,50
2A,80,stock,50,7,01011101,filler,1,8,8
2A,80,stock,50,8,01011110,filler,1,61,39
2A,80,stock,50,9,11010010,filler,1,85,15
2A,80,stock,50,10,00101111,target,4,25,25
2A,80,stock,50,11,11000110,filler,1,6,94
2A,80,stock,50,12,01000101,filler,1,84,84
2A,80,stock,50,13,01000000,target,6,13,87
2A,80,stock,50,14,10100110,filler,1,82,18
2A,80,stock,50,15,10101010,filler,1,99,1
2A,80,stock,50,16,01001011,target,2,17,17
2A,80,stock,50,17,11111010,filler,1,91,9
2A,80,stock,50,18,10000001,filler,1,12,12
2A,81,stock,50,1,11011001,filler,1,50,50
2A,81,stock,50,2,11111010,filler,1,50,50
2A,81,stock,50,3,11101010,filler,1,88,12
2A,81,stock,50,4,10100110,filler,1,36,64
2A,81,stock,50,5,01010100,target,2,49,51
2A,81,stock,50,6,10100111,target,3,63,63
2A,81,stock,50,7,10000001,filler,1,36,36
2A,81,stock,50,8,11010000,target,4,24,76
2A,81,stock,50,9,00111111,target,6,72,72
2A,81,stock,50,10,01000101,filler,1,46,46
2A,81,stock,50,11,10000101,filler,1,16,16
2A,81,stock,50,12,01011110,filler,1,58,42
2A,81,stock,50,13,10001010,filler,1,30,70
2A,81,stock,50,14,11010010,filler,1,22,78
2A,81,stock,50,15,01101010,filler,1,23,77
2A,81,stock,50,16,10000000,target,7,13,87
2A,81,stock,50,17,01110010,filler,1,27,73
2A,81,stock,50,18,11011111,target,5,90,90
2A,82,stock,50,1,01011101,filler,1,51,51
2A,82,stock,50,2,11101010,filler,1,51,49
2A,82,stock,50,3,11111010,filler,1,43,57
2A,82,stock,50,4,01011000,target,3,53,47
2A,82,stock,50,5,11011111,target,5,20,20
2A,82,stock,50,6,01010100,target,2,58,42
2A,82,stock,50,7,11010000,target,4,57,43
2A,82,stock,50,8,00110101,filler,1,49,49
2A,82,stock,50,9,11000110,filler,1,50,50
2A,82,stock,50,10,11001101,filler,1,45,45
2A,82,stock,50,11,01101010,filler,1,50,50
2A,82,stock,50,12,11110010,filler,1,43,57
2A,82,stock,50,13,01110010,filler,1,49,51
2A,82,stock,50,14,01010101,filler,1,50,50
2A,82,stock,50,15,01000000,target,6,77,23
2A,82,stock,50,16,10000000,target,7,94,6
2A,82,stock,50,17,01011110,filler,1,45,55
2A,82,stock,50,18,01010010,filler,1,56,44
2A,83,stock,50,1,10000101,filler,1,14,14
2A,83,stock,50,2,01110010,filler,1,91,9
2A,83,stock,50,3,11000110,filler,1,25,75
2A,83,stock,50,4,11101010,filler,1,82,18
2A,83,stock,50,5,11111010,filler,1,91,9
2A,83,stock,50,6,00110101,filler,1,22,22
2A,83,stock,50,7,10000000,target,7,16,84
2A,83,stock,50,8,00101111,target,4,7,7
2A,83,stock,50,9,10001010,filler,1,78,22
2A,83,stock,50,10,01011110,filler,1,74,26
2A,83,stock,50,11,01000000,target,6,95,5
2A,83,stock,50,12,10101010,filler,1,100,0
2A,83,stock,50,13,10100000,target,5,81,19
2A,83,stock,50,14,01010111,target,3,72,72
2A,83,stock,50,15,10000001,filler,1,49,49
2A,83,stock,50,16,11011001,filler,1,95,95
2A,83,stock,50,17,01010100,target,2,86,14
2A,83,stock,50,18,10100110,filler,1,81,19
2A,84,stock,50,1,11111010,filler,1,96,4
2A,84,stock,50,2,01000101,filler,1,23,23
2A,84,stock,50,3,00110101,filler,1,55,55
2A,84,stock,50,4,01111111,target,7,39,39
2A,84,stock,50,5,01001011,target,2,43,43
2A,84,stock,50,6,11000000,target,6,32,68
2A,84,stock,50,7,11110010,filler,1,59,41
2A,84,stock,50,8,10101111,target,4,71,71
2A,84,stock,50,9,10001010,filler,1,38,62
2A,84,stock,50,10,01011111,target,5,85,85
2A,84,stock,50,11,11001101,filler,1,62,62
2A,84,stock,50,12,01010111,target,3,64,64
2A,84,stock,50,13,01011110,filler,1,70,30
2A,84,stock,50,14,10000101,filler,1,27,27
2A,84,stock,50,15,01000001,filler,1,23,23
2A,84,stock,50,16,01010010,filler,1,48,52
2A,84,stock,50,17,11000110,filler,1,50,50
2A,84,stock,50,18,11010010,filler,1,53,47
2A,85,stock,50,1,01000001,filler,1,1,1
2A,85,stock,50,2,10101010,filler,1,64,36
2A,85,stock,50,3,10000001,filler,1,5,5
2A,85,stock,50,4,11000110,filler,1,7,93
2A,85,stock,50,5,10000101,filler,1,8,8
2A,85,stock,50,6,00110110,filler,1,63,37
2A,85,stock,50,7,01110010,filler,1,23,77
2A,85,stock,50,8,11111010,filler,1,43,57
2A,85,stock,50,9,01101010,filler,1,68,32
2A,85,stock,50,10,11011111,target,5,13,13
2A,85,stock,50,11,10001010,filler,1,25,75
2A,85,stock,50,12,11001101,filler,1,56,56
2A,85,stock,50,13,10100110,filler,1,32,68
2A,85,stock,50,14,01001011,target,2,22,22
2A,85,stock,50,15,10000000,target,7,4,96
2A,85,stock,50,16,11000000,target,6,52,48
2A,85,stock,50,17,01010111,target,3,6,6
2A,85,stock,50,18,10101111,target,4,62,62
2A,86,stock,50,1,11010010,filler,1,14,86
2A,86,stock,50,2,11011001,filler,1,85,85
2A,86,stock,50,3,01111111,target,7,95,95
2A,86,stock,50,4,01011101,filler,1,83,83
2A,86,stock,50,5,10000101,filler,1,37,37
2A,86,stock,50,6,01000101,filler,1,57,57
2A,86,stock,50,7,01010010,filler,1,80,20
2A,86,stock,50,8,10100111,target,3,86,86
2A,86,stock,50,9,00110101,filler,1,75,75
2A,86,stock,50,10,10100000,target,5,12,88
2A,86,stock,50,11,10101111,target,4,92,92
2A,86,stock,50,12,01000001,filler,1,70,70
2A,86,stock,50,13,10001010,filler,1,51,49
2A,86,stock,50,14,01011110,filler,1,76,24
2A,86,stock,50,15,01000000,target,6,29,71
2A,86,stock,50,16,10000001,filler,1,76,76
2A,86,stock,50,17,10100110,filler,1,9,91
2A,86,stock,50,18,01001011,target,2,63,63
2A,87,stock,50,1,11011001,filler,1,77,77
2A,87,stock,50,2,01010010,filler,1,40,60
2A,87,stock,50,3,00110110,filler,1,48,52
2A,87,stock,50,4,01101010,filler,1,48,52
2A,87,stock,50,5,10000001,filler,1,23,23
2A,87,stock,50,6,11101010,filler,1,72,28
2A,87,stock,50,7,00110101,filler,1,49,49
2A,87,stock,50,8,01010100,target,2,36,64
2A,87,stock,50,9,01010101,filler,1,53,53
2A,87,stock,50,10,10000000,target,7,10,90
2A,87,stock,50,11,00100000,target,5,10,90
2A,87,stock,50,12,01010111,target,3,68,68
2A,87,stock,50,13,01110010,filler,1,51,49
2A,87,stock,50,14,10100110,filler,1,51,49
2A,87,stock,50,15,10111111,target,6,88,88
2A,87,stock,50,16,00001101,filler,1,42,42
2A,87,stock,50,17,01010000,target,4,21,79
2A,87,stock,50,18,10001010,filler,1,29,71
2A,88,stock,50,1,11101010,filler,1,33,67
2A,88,stock,50,2,10100110,filler,1,50,50
2A,88,stock,50,3,01000001,filler,1,61,61
2A,88,stock,50,4,00110101,filler,1,50,50
2A,88,stock,50,5,11010000,target,4,65,35
2A,88,stock,50,6,00110110,filler,1,51,49
2A,88,stock,50,7,01010010,filler,1,64,36
2A,88,stock,50,8,01001011,target,2,51,51
2A,88,stock,50,9,01011110,filler,1,35,65
2A,88,stock,50,10,01111111,target,7,26,26
2A,88,stock,50,11,10101000,target,3,67,33
2A,88,stock,50,12,11000110,filler,1,51,49
2A,88,stock,50,13,11111010,filler,1,27,73
2A,88,stock,50,14,01000000,target,6,78,22
2A,88,stock,50,15,10000101,filler,1,56,56
2A,88,stock,50,16,11011111,target,5,18,18
2A,88,stock,50,17,11111101,filler,1,20,20
2A,88,stock,50,18,10000001,filler,1,79,79
2A,89,stock,50,1,00110101,filler,1,15,15
2A,89,stock,50,2,00111111,target,6,92,92
2A,89,stock,50,3,01010100,target,2,60,40
2A,89,stock,50,4,11110010,filler,1,19,81
2A,89,stock,50,5,01011110,filler,1,44,56
2A,89,stock,50,6,01110010,filler,1,32,68
2A,89,stock,50,7,11011111,target,5,97,97
2A,89,stock,50,8,00001101,filler,1,60,60
2A,89,stock,50,9,01011000,target,3,18,82
2A,89,stock,50,10,01101010,filler,1,32,68
2A,89,stock,50,11,10000101,filler,1,32,32
2A,89,stock,50,12,01111111,target,7,100,100
2A,89,stock,50,13,01011101,filler,1,79,79
2A,89,stock,50,14,10101111,target,4,91,91
2A,89,stock,50,15,01000101,filler,1,48,48
2A,89,stock,50,16,10100110,filler,1,73,27
2A,89,stock,50,17,01010010,filler,1,58,42
2A,89,stock,50,18,01010101,filler,1,56,56
2A,90,stock,50,1,00110110,filler,1,68,32
2A,90,stock,50,2,00110101,filler,1,29,29
2A,90,stock,50,3,01101010,filler,1,61,39
2A,90,stock,50,4,00101111,target,4,76,76
2A,90,stock,50,5,10001010,filler,1,18,82
2A,90,stock,50,6,01111111,target,7,91,91
2A,90,stock,50,7,01011111,target,5,87,87
2A,90,stock,50,8,11000110,filler,1,48,52
2A,90,stock,50,9,01010100,target,2,69,31
2A,90,stock,50,10,11000000,target,6,10,90
2A,90,stock,50,11,10100111,target,3,58,58
2A,90,stock,50,12,01010101,filler,1,7,7
2A,90,stock,50,13,01000101,filler,1,11,11
2A,90,stock,50,14,10100110,filler,1,37,63
2A,90,stock,50,15,01011110,filler,1,71,29
2A,90,stock,50,16,01110010,filler,1,29,71
2A,90,stock,50,17,01010010,filler,1,27,73
2A,90,stock,50,18,00001101,filler,1,8,8
2A,91,stock,50,1,11110010,filler,1,78,22
2A,91,stock,50,2,00100000,target,5,71,29
2A,91,stock,50,3,10100111,target,3,90,90
2A,91,stock,50,4,01111111,target,7,98,98
2A,91,stock,50,5,11101010,filler,1,90,10
2A,91,stock,50,6,00110101,filler,1,21,21
2A,91,stock,50,7,10101010,filler,1,94,6
2A,91,stock,50,8,11001101,filler,1,53,53
2A,91,stock,50,9,10000101,filler,1,11,11
2A,91,stock,50,10,10101111,target,4,45,45
2A,91,stock,50,11,11011001,filler,1,80,80
2A,91,stock,50,12,10100110,filler,1,15,85
2A,91,stock,50,13,10000001,filler,1,64,64
2A,91,stock,50,14,00001101,filler,1,87,87
2A,91,stock,50,15,10101011,target,2,52,52
2A,91,stock,50,16,01010010,filler,1,66,34
2A,91,stock,50,17,00111111,target,6,32,32
2A,91,stock,50,18,00110110,filler,1,70,30
2A,92,stock,50,1,01010010,filler,1,74,26
2A,92,stock,50,2,10000001,filler,1,53,53
2A,92,stock,50,3,00110110,filler,1,50,50
2A,92,stock,50,4,10100000,target,5,87,13
2A,92,stock,50,5,01011110,filler,1,25,75
2A,92,stock,50,6,01011000,target,3,64,36
2A,92,stock,50,7,11111010,filler,1,27,73
2A,92,stock,50,8,10001010,filler,1,50,50
2A,92,stock,50,9,11010000,target,4,38,62
2A,92,stock,50,10,01111111,target,7,9,9
2A,92,stock,50,11,00110101,filler,1,64,64
2A,92,stock,50,12,01000000,target,6,79,21
2A,92,stock,50,13,10100110,filler,1,48,52
2A,92,stock,50,14,11001101,filler,1,32,32
2A,92,stock,50,15,10000101,filler,1,63,63
2A,92,stock,50,16,01001011,target,2,49,49
2A,92,stock,50,17,10101010,filler,1,63,37
2A,92,stock,50,18,11000110,filler,1,31,69
2A,93,stock,50,1,10101010,filler,1,82,18
